"Razão Social (Registro ANS)";"Cobertura";"Porte";"Classificação no Mês";"Classificação no Mês Anterior";"Fev/20";"Jan/20";"Dez/19";"Nov/19";"Out/19";"Set/19";"Ago/19";"Jul/19";"Jun/19";"Mai/19";"Abr/19";"Mar/19";"Competência";"Data de atualização"
"CDA - ASSISTÊNCIA ODONTOLÓGICA LTDA - EPP (415952)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"CENTRO DE ESTUDOS E DIAGNÓSTICO ODONTOLÓGICO LTDA - CEDOM (349291)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   2,21";"   2,19";"   2,16";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"CENTRO ODONTOLOGICO INTEGRADO EIRELI (314757)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"CEORP - CENTRO ODONTOLOGICO LTDA (401871)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"CLINICA ODONTOLOGICA ODONTOPLAN LTDA (410071)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"CLÍNICA ODONTOLÓGICA SASSO LTDA (416797)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"CONSTRUDENTE ASSISTENCIA ODONTOLOGICA LTDA (405931)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"COOPERATIVA DE ASSISTÊNCIA ODONTOLÓGICA VALE DO CAÍ LTDA - DENTSUL (353477)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"COOPERATIVA DE SERVIÇOS ODONTOLÓGICOS DE FARROUPILHA LTDA (362735)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"COOPERATIVA DE TRABALHO ODONTOLOGICO - UNIODONTO ITAJUBÁ (419028)";"Odontológica";"Médio";"15";"17";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"COOPERATIVA DOS CIRURGIÕES DENTISTAS DO ESTADO DE SERGIPE (359459)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"COOPERATIVA EVIDENTE - COOPERATIVA DE TRABALHO ODONTOLÓGICA DE BOTUCATU (400572)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"COOPERATIVA NOVODENTE LTDA (417840)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"COOPERATIVA ODONTOLÓGICA DE GARANHUNS E AGRESTE MERIDIONAL. (342335)";"Odontológica";"Pequeno";"5";"7";"   1,38";"   1,38";"   2,76";"   1,38";"   1,38";"0,00";"0,00";"0,00";"   1,44";"   1,45";"   1,45";"0,00";"202002";"26/03/2020 09:14:21"
"COOPERATIVA ODONTOLÓGICA DO ESTADO DO AMAPÁ (365785)";"Odontológica";"Médio";"15";"17";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"COOPERATIVA ODONTOLÓGICA POÇOS DE CALDAS (409791)";"Odontológica";"Médio";"15";"17";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"COOPERATIVA ODONTOLÓGICA REGIÃO SUL DA BAHIA - UNIODONTO (402010)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,71";"   0,71";"   1,43";"202002";"26/03/2020 09:14:21"
"COOPERCISO - CENTRO INTEGRADO DE SERVIÇO ODONTOLÓGICO S/S LTDA. (353892)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"COOP-ODONTOCLASSIC - COOPERATIVA DE TRABALHO ODONTOLÓGICO (407241)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"CROE - CENTRO DE REABILITACAO ORAL ESPECIALIZADO LTDA (368181)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"CROWN ODONTOLOGIA DE GRUPO  LTDA (397245)";"Odontológica";"Médio";"15";"17";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,87";"   0,82";"   0,80";"0,00";"202002";"26/03/2020 09:14:21"
"CUNHA ODONTOLOGIA LTDA (416959)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,75";"   1,75";"   1,76";"202002";"26/03/2020 09:14:21"
"DELFHI PLANOS ODONTOLÓGICOS LTDA (421081)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"DENTAL CARE ASSISTÊNCIA ODONTOLÓGICA LTDA (420239)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"DENTAL CARE CLINICA ODONTOLOGICA LTDA (386219)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"DENTAL CENTER LTDA (339458)";"Odontológica";"Médio";"15";"17";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"DENTAL GOLD ASSISTÊNCIA ODONTOLÓGICA LTDA. (300730)";"Odontológica";"Médio";"15";"17";"0,00";"0,00";"   0,23";"   0,23";"   0,23";"   0,24";"   0,24";"   0,24";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"DENTAL MASTER LTDA - EPP (413747)";"Odontológica";"Médio";"2";"1";"   1,37";"   2,26";"   1,36";"   1,81";"   1,36";"   0,91";"   0,46";"0,00";"   1,81";"   1,81";"   1,83";"   0,46";"202002";"26/03/2020 09:14:21"
"DENTAL PLAN - PLANO DE ASSISTÊNCIA ODONTOLÓGICA LTDA. ME (415804)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"DENTAL PLUS CONVÊNIO ODONTOLÓGICO LTDA. (314366)";"Odontológica";"Médio";"13";"12";"   0,20";"   0,23";"   0,29";"   0,38";"   0,39";"   0,39";"   0,40";"   0,40";"   0,40";"   0,40";"   0,81";"   0,82";"202002";"26/03/2020 09:14:21"
"DENTAL UNI - COOPERATIVA ODONTOLÓGICA (304484)";"Odontológica";"Grande";"2";"3";"   0,65";"   0,51";"   0,54";"   0,51";"   0,57";"   0,54";"   0,54";"   0,46";"   0,59";"   0,67";"   0,68";"   0,46";"202002";"26/03/2020 09:14:21"
"DENTALMASTER COMÉRCIO DE PLANOS ODONTOLÓGICOS LTDA (401463)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"DENTAL-MED ASSISTENCIA ODONTOLOGICA S/S LTDA (333620)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"DENTALPAR ASSISTÊNCIA ODONTOLÓGICA EMPRESARIAL LTDA. (322890)";"Odontológica";"Grande";"3";"4";"   0,47";"   0,48";"   0,24";"   0,25";"   0,17";"   0,08";"   0,17";"   0,17";"   0,08";"   0,08";"   0,16";"   0,32";"202002";"26/03/2020 09:14:21"
"DENTALPLAN PLANOS DE ASSISTENCIA ODONTOLOGICA LTDA (416908)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,86";"202002";"26/03/2020 09:14:21"
"DENTALSHOW ASSISTÊNCIA ODONTOLÓGICA LTDA. (361038)";"Odontológica";"Médio";"15";"17";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,51";"   0,51";"   0,52";"   0,53";"   0,54";"   1,09";"202002";"26/03/2020 09:14:21"
"DENTIÇÃO CONVÊNIOS ODONTOLÓGICOS S/S LTDA (327867)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"   0,68";"   0,68";"   0,68";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,68";"202002";"26/03/2020 09:14:21"
"DENTSY ODONTOLOGIA S/S LTDA. (414425)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"E F SOBRINHO EIRELI - ME (420778)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"FEDERAÇÃO DAS COOP ODONTOLÓGICAS DO ESTADO DE SANTA CATARINA (415626)";"Odontológica";"Médio";"15";"17";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,14";"   0,15";"   0,15";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"FEDERAÇÃO DAS UNIODONTOS DO ESTADO DE MINAS GERAIS (344583)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"FR PLANO ODONTOLÓGICO LTDA (419818)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"IDEAL ODONTO ASSISTÊNCIA ODONTOLÓGICA LTDA. (414921)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"   5,42";"   5,58";"   5,59";"0,00";"   6,57";"   7,22";"   7,40";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"IDENTAL ASSISTÊNCIA ODONTOLÓGICA LTDA - ME (414557)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"IGM OPERADORA DE PLANOS ODONTOLÓGICOS LTDA (419745)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"INÁCIO E SPANGHERO LTDA (415332)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"INSTITUTO DE ODONTOLOGIA DO MARANHÃO LTDA. (414981)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"INSTITUTO DE PREVIDÊNCIA E ASSISTÊNCIA ODONTOLÓGICA LTDA (389358)";"Odontológica";"Grande";"13";"12";"   0,13";"   0,16";"   0,13";"   0,03";"   0,03";"   0,07";"   0,07";"   0,07";"   0,04";"   0,04";"   0,04";"   0,07";"202002";"26/03/2020 09:14:21"
"INSTITUTO DE SAÚDE ODONTOLÓGICA - ISODONT LTDA (415260)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"INTEGRAL SERVIÇOS ODONTOLÓGICOS LTDA. (359394)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"INTERDENTAL ODONTOLOGIA INTEGRADA LTDA. (312525)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"INVEST ORAL PLANO ODONTOLÓGICO LTDA. (416240)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"J.E. ODONTOQUALITY S/S LTDA (418536)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"JLM ASSISTÊNCIA ODONTOLÓGICA LTDA (416215)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"JTC ODONTOLOGIA LTDA. (418722)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"LITORAL CONVÊNIOS E CREDENCIAMENTO ODONTOLÓGICO LTDA ME (418358)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"LOTUS OPERADORA DE PLANOS ODONTOLÓGICOS LTDA. (415537)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"MACIEL & MACIEL ASSISTÊNCIA ODONTOLÓGICA LTDA (416835)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"MATTOS ODONTOLOGIA LTDA (329967)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"METLIFE PLANOS ODONTOLÓGICOS LTDA. (406481)";"Odontológica";"Grande";"9";"9";"   0,25";"   0,31";"   0,28";"   0,25";"   0,22";"   0,19";"   0,18";"   0,13";"   0,17";"   0,18";"   0,17";"   0,22";"202002";"26/03/2020 09:14:21"
"METODONT - ASSISTÊNCIA ODONTOLOGICA LTDA (300365)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"MOGIDONTO PLANOS ODONTOLÓGICOS LTDA (354741)";"Odontológica";"Médio";"15";"17";"0,00";"0,00";"0,00";"0,00";"   0,16";"   0,16";"   0,16";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"MULTI - BUCAL ODONTOLOGIA LTDA - EPP (351351)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"NACIONAL ODONTO OPERADORA DE PLANOS ODONTOLÓGICOS LTDA. (304441)";"Odontológica";"Grande";"12";"17";"   0,13";"   0,07";"   0,20";"   0,20";"   0,41";"   0,28";"   0,35";"   0,14";"   0,36";"   0,29";"   0,30";"   0,08";"202002";"26/03/2020 09:14:21"
"NEWKLIN ODONTOCLÍNICA LTDA. ME. (415057)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"NUCLEO ASSISTENCIA ODONTOLOGICA LTDA (359866)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ODONTO CORPUS S/S LTDA. (405973)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ODONTO EMPRESAS CONVENIOS DENTARIOS LTDA. (310981)";"Odontológica";"Grande";"6";"8";"   0,34";"   0,37";"   0,40";"   0,34";"   0,34";"   0,31";"   0,29";"   0,27";"   0,25";"   0,28";"   0,26";"   0,26";"202002";"26/03/2020 09:14:21"
"ODONTO JARAGUÁ LTDA (312321)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ODONTO PLUS CONVENIO ODONTOLOGICO SOCIEDADE SIMPLES LTDA (405671)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ODONTO PRIME PLANOS ODONTOLÓGICOS LTDA ME (420212)";"Odontológica";"Pequeno";"10";"1";"0,00";"   7,53";"   8,97";"  11,27";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ODONTO PRIME S/S LTDA (418994)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ODONTO QUALIT SERVIÇOS ODONTOLÓGICOS LTDA (416347)";"Odontológica";"Pequeno";"3";"13";"   1,89";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ODONTO SÃO LUCAS LTDA. (340227)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ODONTO SEG OPERADORA DE PLANOS ODONTOLOGICOS LTDA. (419281)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"";"202002";"26/03/2020 09:14:21"
"ODONTOART PLANOS ODONTOLÓGICOS LTDA (414387)";"Odontológica";"Grande";"5";"7";"   0,36";"   0,43";"   0,58";"   0,58";"   0,51";"   0,30";"   0,15";"   0,15";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ODONTOBASE PLANOS DE SAUDE LTDA. (344486)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"   2,07";"   2,06";"   2,07";"0,00";"0,00";"0,00";"   2,20";"   2,28";"   3,95";"202002";"26/03/2020 09:14:21"
"ODONTOCLINICA RCC LTDA. S/S (418111)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ODONTOFACE OPERADORA DE PLANOS DE SAUDE ODONTOLOGICOS LTDA (417068)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ODONTOGROUP SISTEMA DE SAÚDE LTDA. (389854)";"Odontológica";"Médio";"5";"7";"   0,55";"   0,44";"   0,45";"   0,37";"   0,27";"   0,57";"   0,58";"   0,73";"   0,44";"   0,74";"   0,88";"   0,88";"202002";"26/03/2020 09:14:21"
"ODONTOLIVE OPERADORA DE PLANOS ODONTOLÓGICOS LTDA. (417831)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,46";"   1,45";"   1,45";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ODONTOLÓGICA SERVIÇOS DE SAÚDE ORAL LTDA (416614)";"Odontológica";"Médio";"15";"17";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ODONTOLOGYC SYSTEM CONVÊNIO ODONTOLOGICO LTDA (416461)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ODONTOMAIS SERVIÇOS ODONTOLÓGICOS LTDA - ME (419184)";"Odontológica";"Pequeno";"7";"9";"   0,78";"   0,77";"   0,76";"0,00";"   0,70";"   1,31";"   1,25";"   0,59";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ODONTOMAXI OPERADORA DE PLANOS ODONTOLÓGICOS LTDA (419583)";"Odontológica";"Pequeno";"4";"5";"   1,47";"   1,59";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"";"202002";"26/03/2020 09:14:21"
"ODONTOPAM ASSISTENCIA MÉDICA ODONTOLOGICA INTEGRADA LTDA (313891)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"   0,90";"   0,93";"   0,96";"0,00";"0,00";"0,00";"   1,06";"   1,11";"202002";"26/03/2020 09:14:21"
"ODONTOPARÁ PLANO DE SAÚDE E CLÍNICA ODONTOLÓGICA LTDA (418714)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ODONTOPONTA CLINICA ODONTOLÓGICA LTDA (416673)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ODONTOPREV S/A (301949)";"Odontológica";"Grande";"7";"6";"   0,34";"   0,43";"   0,44";"   0,47";"   0,43";"   0,40";"   0,42";"   0,43";"   0,45";"   0,43";"   0,40";"   0,35";"202002";"26/03/2020 09:14:21"
"ODONTOREAL LTDA. (412040)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ODONTOVIDA LTDA ME (418200)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ODONTRAT ASSISTENCIA ODONTOLOGICA LTDA. - EIRELI (415961)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"OPERADORA DE PLANOS ODONTOLÓGICOS ODONTOCLÍNICA LTDA (420743)";"Odontológica";"Pequeno";"1";"2";"   3,52";"   3,45";"   3,39";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"OPERADORA DE PLANOS ODONTOLOGICOS ORTOBAHIA LTDA (419681)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"";"";"";"";"202002";"26/03/2020 09:14:21"
"ORAL GAM ASSISTENCIA ODONTOLÓGICA LTDA (418447)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ORAL SAÚDE CLÍNICA ODONTOLÓGICA LTDA. (311693)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ORAL SAÚDE DE IBITINGA SERVIÇOS ODONTOLÓGICOS S/S LTDA (366510)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ORALE ASSISTÊNCIA ODONTOLÓGICA LTDA (412996)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ORALPLAN PLANOS DE SAUDE ODONTOLÓGICOS LTDA-ME (420972)";"Odontológica";"Pequeno";"10";"6";"0,00";"   1,41";"   1,41";"   1,43";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
"ORALPLANOS ASSISTÊNCIA ODONTOLÓGICA LTDA ME (419656)";"Odontológica";"Pequeno";"10";"13";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202002";"26/03/2020 09:14:21"
